,G10,G100,G11,G12,G13,G14,G15,G16,G17,G18,G19,G2,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G4,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G5,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G6,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G7,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G8,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G9,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G1
G1,0.0,0.004,0.0,0.006,0.0,0.002,0.004,0.024,0.0,0.0,0.0,0.004,0.0,0.01,0.5960000000000001,0.006,0.0,0.096,0.004,0.008,0.13199999999999998,0.002,0.014000000000000002,0.0,0.0,0.0,0.16999999999999998,0.016,0.08600000000000001,0.002,0.0,0.25999999999999995,0.084,0.0,0.0,0.0,0.21600000000000003,0.002,0.024,0.008,0.0,0.0,0.10400000000000001,0.0,0.0,0.002,0.01,0.0,0.0,0.004,0.0,0.0,0.004,0.0,0.06599999999999999,0.06799999999999999,0.002,0.030000000000000006,0.046000000000000006,0.004,0.098,0.0,0.008,0.21200000000000002,0.0,0.04,0.004,0.004,0.01,0.008,0.016,0.0,0.006,0.0,0.15999999999999998,0.0,0.038,0.01,0.012,0.004,0.01,0.01,0.0,0.0,0.008,0.008,0.004,0.10200000000000001,0.0,0.0,0.002,0.006,0.0,0.0,0.08,0.004,0.0,0.0,0.016,
G10,,0.5599999999999999,0.5860000000000001,0.016,0.0,0.002,0.036,0.012,0.01,0.024,0.046,0.002,0.0,0.002,0.014000000000000002,0.004,0.002,0.004,0.008,0.016,0.014000000000000002,0.0,0.016,0.002,0.01,0.0,0.0,0.0,0.006,0.082,0.01,0.028000000000000004,0.0,0.006,0.032,0.04,0.032,0.002,0.0,0.16,0.162,0.032,0.01,0.002,0.036,0.002,0.0,0.026000000000000002,0.0,0.026000000000000002,0.004,0.11800000000000002,0.008,0.0,0.0,0.006,0.014000000000000002,0.0,0.006,0.008,0.0,0.054000000000000006,0.006,0.0,0.074,0.0,0.004,0.01,0.0,0.002,0.006,0.018,0.032,0.01,0.014000000000000002,0.012,0.006,0.0,0.057999999999999996,0.004,0.01,0.054000000000000006,0.064,0.0,0.01,0.002,0.0,0.002,0.004,0.0,0.054000000000000006,0.0,0.036,0.006,0.016,0.008,0.03200000000000001,0.004,0.144,0.0
G100,0.46799999999999997,,0.924,0.0,0.0,0.008,0.006,0.0,0.004,0.004,0.01,0.032,0.0,0.002,0.024,0.05,0.006,0.018,0.014000000000000002,0.002,0.014000000000000002,0.006,0.082,0.033999999999999996,0.0,0.002,0.0,0.012,0.0,0.0,0.164,0.016,0.004,0.0,0.032,0.0,0.042,0.018,0.008,0.014000000000000002,0.09,0.008,0.0,0.01,0.008,0.0,0.012,0.004,0.092,0.022,0.018,0.002,0.016,0.002,0.016,0.04,0.014000000000000002,0.016,0.0,0.006,0.046,0.072,0.008,0.002,0.0,0.006,0.004,0.006,0.02,0.002,0.0,0.02,0.006,0.006,0.0,0.0,0.014000000000000002,0.018,0.046000000000000006,0.006,0.008,0.0,0.008,0.01,0.05,0.002,0.006,0.018,0.004,0.01,0.006,0.01,0.01,0.124,0.018,0.006,0.004,0.0,0.01,0.018
G11,0.426,0.95,,0.044,0.0,0.03,0.0,0.006,0.016,0.0,0.004,0.048,0.0,0.01,0.028000000000000004,0.014000000000000002,0.004,0.006,0.002,0.012,0.0,0.0,0.004,0.002,0.0,0.004,0.10400000000000001,0.052000000000000005,0.006,0.0,0.012,0.014000000000000002,0.01,0.014000000000000002,0.0,0.0,0.008,0.026000000000000002,0.012,0.05600000000000001,0.074,0.094,0.0,0.018,0.0,0.008,0.002,0.0,0.0,0.01,0.014000000000000002,0.004,0.004,0.0,0.036,0.06000000000000001,0.0,0.006,0.0,0.0,0.044,0.0,0.006,0.0,0.002,0.16,0.008,0.006,0.0,0.002,0.032,0.0,0.012,0.06599999999999999,0.04,0.0,0.0,0.057999999999999996,0.006,0.018,0.062,0.0,0.016,0.006,0.05800000000000001,0.0,0.0,0.006,0.004,0.018,0.022000000000000002,0.016,0.0,0.0,0.0,0.044000000000000004,0.006,0.02,0.008,0.0
G12,0.028000000000000004,0.004,0.04,,0.0,0.0,0.004,0.158,0.006,0.074,0.0,0.002,0.002,0.02,0.006,0.002,0.006,0.018,0.018,0.008,0.0,0.008,0.0,0.184,0.014000000000000002,0.008,0.0,0.01,0.002,0.01,0.0,0.046000000000000006,0.11200000000000002,0.0,0.006,0.0,0.006,0.0,0.02,0.006,0.0,0.006,0.0,0.01,0.0,0.0,0.12200000000000003,0.0,0.004,0.0,0.002,0.0,0.0,0.0,0.23399999999999999,0.28600000000000003,0.04,0.06999999999999999,0.0,0.0,0.0,0.002,0.038,0.002,0.008,0.024,0.002,0.0,0.0,0.0,0.012,0.008,0.0,0.314,0.030000000000000006,0.0,0.01,0.46399999999999997,0.012,0.002,0.184,0.018,0.014000000000000002,0.0,0.004,0.004,0.0,0.006,0.026000000000000002,0.0,0.008,0.012,0.0,0.006,0.044,0.0,0.03,0.1,0.004,0.006
G13,0.0,0.0,0.0,0.01,,0.0,0.018,0.012,0.028000000000000004,0.0,0.0,0.018,0.128,0.01,0.0,0.01,0.006,0.0,0.0,0.002,0.004,0.004,0.002,0.01,0.018,0.008,0.0,0.018,0.02,0.0,0.002,0.002,0.0,0.0,0.778,0.004,0.054000000000000006,0.33399999999999996,0.022000000000000002,0.024,0.014000000000000002,0.0,0.01,0.018,0.006,0.0,0.018000000000000002,0.02,0.01,0.0,0.008,0.098,0.05600000000000001,0.008,0.01,0.0,0.008,0.012,0.033999999999999996,0.028000000000000004,0.01,0.05,0.038,0.004,0.004,0.014000000000000002,0.022000000000000002,0.026000000000000002,0.002,0.008,0.006,0.1,0.004,0.0,0.0,0.002,0.0,0.022,0.008,0.16799999999999998,0.028000000000000004,0.022,0.004,0.002,0.006,0.01,0.016,0.0,0.002,0.298,0.024,0.06799999999999999,0.0,0.024,0.002,0.022000000000000002,0.0,0.014000000000000002,0.05800000000000001,0.008
G14,0.022,0.02,0.05600000000000001,0.0,0.016,,0.156,0.024,0.038,0.072,0.024,0.008,0.0,0.062,0.0,0.01,0.0,0.042,0.038,0.014000000000000002,0.016,0.176,0.006,0.0,0.042,0.018,0.004,0.076,0.024,0.014000000000000002,0.02,0.0,0.033999999999999996,0.0,0.012,0.002,0.012,0.0,0.006,0.026000000000000002,0.11000000000000001,0.078,0.028000000000000004,0.004,0.03200000000000001,0.074,0.0,0.012,0.01,0.016,0.042,0.048,0.0,0.01,0.0,0.03200000000000001,0.01,0.02,0.008,0.028000000000000004,0.004,0.032,0.028000000000000004,0.002,0.016,0.02,0.042,0.008,0.026000000000000002,0.026000000000000002,0.05,0.072,0.354,0.02,0.0,0.08,0.046,0.01,0.006,0.054000000000000006,0.022,0.02,0.05,0.008,0.002,0.022000000000000002,0.066,0.0,0.016,0.014000000000000002,0.012,0.002,0.0,0.074,0.026000000000000002,0.006,0.024,0.062,0.016,0.01
G15,0.006,0.01,0.002,0.02,0.034,0.08,,0.29,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.004,0.0,0.004,0.008,0.018,0.024,0.0,0.01,0.022,0.004,0.01,0.002,0.01,0.8460000000000001,0.0,0.044000000000000004,0.02,0.002,0.002,0.0,0.0,0.168,0.004,0.0,0.002,0.006,0.004,0.01,0.002,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.016,0.0,0.0,0.002,0.022,0.014000000000000002,0.006,0.006,0.006,0.006,0.026000000000000002,0.002,0.024,0.008,0.002,0.0,0.006,0.006,0.3,0.034,0.002,0.0,0.05600000000000001,0.0,0.0,0.038,0.024,0.0,0.012,0.014000000000000002,0.004,0.05,0.008,0.006,0.008,0.0,0.43999999999999995,0.0,0.012,0.006,0.0,0.030000000000000006,0.004,0.0,0.006,0.008,0.016
G16,0.008,0.008,0.018,0.022000000000000002,0.0,0.0,0.11600000000000002,,0.012,0.0,0.002,0.0,0.0,0.0,0.072,0.0,0.0,0.034,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.0,0.014000000000000002,0.508,0.42800000000000005,0.002,0.0,0.0,0.0,0.006,0.008,0.0,0.0,0.006,0.002,0.01,0.002,0.002,0.246,0.0,0.004,0.0,0.006,0.0,0.0,0.0,0.10600000000000001,0.054000000000000006,0.0,0.002,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.002,0.7140000000000001,0.0,0.022,0.004,0.002,0.0,0.0,0.0,0.126,0.002,0.0,0.0,0.046,0.0,0.008,0.028000000000000004,0.01,0.01,0.0,0.192,0.006,0.002,0.0,0.002,0.0,0.030000000000000006,0.041999999999999996,0.0,0.002,0.0,0.002,0.002,0.008,0.0,0.0
G17,0.0,0.0,0.0,0.01,0.002,0.024,0.028000000000000004,0.11400000000000002,,0.008,0.0,0.0,0.054000000000000006,0.016,0.016,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30999999999999994,0.01,0.11800000000000002,0.0,0.10200000000000001,0.016,0.012,0.036,0.0,0.0,0.002,0.072,0.002,0.01,0.012,0.0,0.002,0.0,0.0,0.0,0.0,0.138,0.016,0.036,0.002,0.0,0.0,0.012,0.0,0.008,0.0,0.0,0.0,0.13999999999999999,0.42799999999999994,0.01,0.0,0.032,0.078,0.004,0.088,0.004,0.008,0.13399999999999998,0.0,0.006,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.028000000000000004,0.014000000000000002,0.0,0.0,0.0,0.024,0.004,0.568,0.030000000000000006,0.014000000000000002,0.006,0.0,0.06,0.0,0.0,0.0,0.002,0.0,0.068,0.002,0.018
